"export_id","suggested_at","relic_id","nid_id","nid_kind","relic_ancestry","register_number","voivodeship","district","commune","place","place_id","place_id_action","identification","identification_action","street","street_action","dating","dating_action","latitude","longitude","coordinates_action","categories","categories_action","user_id"
"rel_49798","2012-06-01 00:00:00","49798","640467","SA",""," A/1560/94 z 30.12.1994","śląskie","Katowice","Katowice","Katowice","90996","revision","Szkoła, ob. LO im. Długosza","revision","ul. Lwowska 2","revision","1906","revision","50.2622028","19.0947141","revision","","revision","none"
"rel_49536","2012-06-01 00:00:00","49536","640205","OZ","49528"," A/1516/93 z 26.02.1993","śląskie","Katowice","Katowice","Katowice","90996","revision","Kaplica cmentarna","revision","ul. Francuska","revision","2 poł. XIX","revision","50.2435107","19.0242208","revision","","revision","none"
"rel_49747","2012-06-01 00:00:00","49747","640416","OZ","49746"," A/90/03 z 18.09.2003","śląskie","Katowice","Katowice","Katowice","90996","revision","Dom","revision","ul. Przyjazna 22","revision","1907-1912","revision","50.2222931","19.0699602","revision","","revision","none"
"rel_49567","2012-06-01 00:00:00","49567","640236","SA",""," A/1467/92 z 12.06.1992","śląskie","Katowice","Katowice","Katowice","90996","revision","Kamienica","revision","ul. Jagiellońska 3","revision","1894/95","revision","50.2543644","19.0195475","revision","","revision","none"
"rel_49788","2012-06-01 00:00:00","49788","640457","OZ","49786"," 1202/73 z 19.02.1973","śląskie","Katowice","Katowice","Katowice","90996","revision","Klasztor","revision","ul. Pnewnicka","revision","1905-1908","revision","50.2297579","18.9468506","revision","","revision","none"
"rel_49780","2012-06-01 00:00:00","49780","640449","OZ","49779"," A/1384/89 z 20.03.1989","śląskie","Katowice","Katowice","Katowice","90996","revision","Nadszybie z wieżą wyciągową","revision","ul. Szopienicka","revision","1903-1911","revision","50.2411759","19.078509","revision","","revision","none"
"rel_70583","2012-06-01 00:00:00","70583","698358","OZ","70582"," A/147/05 z 25.07.2005","śląskie","Katowice","Katowice","Katowice","90996","revision","Dom","revision","ul. Przyjemna 17","revision","1907-1912","revision","50.2196609","19.0666272","revision","","revision","none"
"rel_49605","2012-06-01 00:00:00","49605","640274","SA",""," A/1434/91 z 05.09.1991","śląskie","Katowice","Katowice","Katowice","90996","revision","Dom","revision","ul. Raciborska 37","revision","1930","revision","50.254789","19.0020362","revision","","revision","none"
"rel_70572","2012-06-01 00:00:00","70572","698343","OZ","70570"," A/146/05 z 22.04.2005","śląskie","Katowice","Katowice","Katowice","90996","revision","Budynek gospodarczy","revision","ul. Agaty 5","revision","1907-1912","revision","50.2229013","19.0726265","revision","","revision","none"
"rel_49519","2012-06-01 00:00:00","49519","640188","SA",""," A-1286/82 z 02.02.1982","śląskie","Katowice","Katowice","Katowice","90996","revision","Kościół par. p.w. Niepokalanego Poczęcia NPM","revision","pl. Biskupa Szramka","revision","1862-1870","revision","50.2648919","19.0237815","revision","","revision","none"
"rel_76267","2012-06-01 00:00:00","76267","764751","OZ","76266"," A/143/05 z 21.03.2005","śląskie","Katowice","Katowice","Katowice","90996","revision","Dom dwurodzinny","revision","ul. Przyjemna 13","revision","1907-1912","revision","50.219983","19.0683681","revision","","revision","none"
"rel_76268","2012-06-01 00:00:00","76268","764753","OZ","76266"," A/143/05 z 21.03.2005","śląskie","Katowice","Katowice","Katowice","90996","revision","Budynek gospodarczy","revision","ul. Przyjemna 13","revision","1907-1912","revision","50.219983","19.0683681","revision","","revision","none"
"rel_76269","2012-06-01 00:00:00","76269","764756","SA",""," A/350/11 z 5.09.2011","śląskie","Katowice","Katowice","Katowice","90996","revision","Kościól par. pw. św. Anny","revision","pl. Wyzwolenia 21","revision","1914","revision","50.2432707","19.0828032","revision","","revision","none"
"rel_49558","2012-06-01 00:00:00","49558","640227","SA",""," A/1431/91 z 30.08.1991","śląskie","Katowice","Katowice","Katowice","90996","revision","Bank, ob. NBP","revision","ul. Bankowa 5","revision","1911","revision","50.2591725","19.0284339","revision","","revision","none"
"rel_49569","2012-06-01 00:00:00","49569","640238","SA",""," 1371/88 z 27.09.1988","śląskie","Katowice","Katowice","Katowice","90996","revision","Gimnazjum, ob. wydział Biologii UŚ","revision","ul. Jagiellońska 28","revision","1913","revision","50.2545075","19.0239075","revision","","revision","none"
"rel_49601","2012-06-01 00:00:00","49601","640270","SA",""," 1305/83 z 07.07.1983","śląskie","Katowice","Katowice","Katowice","90996","revision","Dom","revision","ul. Pocztowa 7","revision","kon. XIX","revision","50.2584686","19.020631","revision","","revision","none"
"rel_49624","2012-06-01 00:00:00","49624","640293","SA",""," A/1542/94 z 01.03.1994","śląskie","Katowice","Katowice","Katowice","90996","revision","Kamienica","revision","ul. Staromiejska 21","revision","1905","revision","50.2581672","19.0244838","revision","","revision","none"
"rel_49647","2012-06-01 00:00:00","49647","640316","SA",""," A/1410/90 z 14.09.1990","śląskie","Katowice","Katowice","Katowice","90996","revision","Kamienica","revision","pl. Wolności 1","revision","XIX/XX","revision","50.2599305","19.0143344","revision","","revision","none"
