Województwo;Miejscowość;Tytuł projektu;Wartość ogółem;Dofinansowanie UE;Nazwa beneficjenta
Łódzkie;Łódź;Specjalista ds. funduszy UE;44912.86;38175.93;Fundacja RAZEM
Małopolskie;Kraków;Kompleksowy program rozwoju kadr Travelplanet.pl;44788.22;30455.99;Nowe Motywacje Sp. z o.o.
Małopolskie;Kraków;Kwalifikacje przyszłości;136040.00;115634.00;Vision Consulting sp. z o. o.
Małopolskie;Klucze;Promyk;917348.82;779746.50;Chrześcijańskie Stowarzyszenie Dobroczynne
Mazowieckie;Warszawa;Profesjonalne doradztwo podatkowe - program rozwoju kompetencji zawodowych konsultantów PricewaterhouseCoopers;98718.74;50346.49;PricewaterhouseCoopers Sp. z o.o.
Mazowieckie;Warszawa;"""Współdziałanie w biznesie"" - CAPGEMINI światowym liderem usług wsparcia informatycznego";1078744.15;550159.52;Altkom Akademia S.A.
Mazowieckie;Warszawa;Rozwój kompetencji zawodowych konsultantów działu doradztwa biznesowego PwC Polska jako instrument osiągnięcia nowej jakości usług doradczych;185155.91;94429.48;PwC Polska Sp. z o.o.
Mazowieckie;Warszawa;Wzrost konkrencyjności przedsiębiorstw poprzez efektywną sprzedaż;453631.65;278970.88;PDC Consensus
Mazowieckie;Warszawa;Przez kompetencje do firmy eksperckiej;267588.42;153282.78;GROW Galecki i Pietrzak S.J.
Mazowieckie;Warszawa;Program rozwoju kadr menedżerskich i doradczych;84724.64;43142.90;Provista SA
Mazowieckie;Warszawa;Zintegrowany rozwój kluczowych kompetencji zawodowych u konsultantów działu audytu PricewaterhouseCoopers;410849.48;209533.22;PricewaterhouseCoopers Sp. z o.o.
Mazowieckie;Warszawa;Podniesienie kwalifikacji pracowników śląskich przedsiębiorstw;82224.71;60888.29;Sysco Polska Sp. z o.o.
Mazowieckie;Warszawa;PROFESJONALNY PRACOWNIK BIUROWY - PROGRAM ROZWOJU KOMPETENCJI ZAWODOWYCH OSóB PRACUJąCYCH W KATOWICACH.;1150273.68;977732.63;THE TOWER
Mazowieckie;Warszawa;Lokalne Centra Usamodzielnienia Robinsona;33749.23;28686.85;Fundacja Robinson Crusoe
Pomorskie;Gdańsk;Akademia zarządzania produkcją i logistyką;603387.34;420477.00;Ośrodek Doradztwa i Treningu Kierowniczego
Pomorskie;Gdańsk;Dobry pracownik ambasadorem wartości JYSK;15874.84;8096.17;Ośrodek Doradztwa i Treningu Kierowniczego
Pomorskie;Gdańsk;Jednością silni - program wsparcia Grupy Torfarm w dążeniu do umocnienia pozycji na rynku hurtu farmaceutycznego.;181350.01;98982.84;Ośrodek Doradztwa i Treningu Kierowniczego
Pomorskie;Gdańsk;DPD - Droga Projektowej Dojrzałości;55423.48;28084.66;Ośrodek Doradztwa i Treningu Kierowniczego
Pomorskie;Gdańsk;Profesjonalizm pracowników Wash Master gwarantem usług najwyższej jakości.;113561.71;67569.21;Towarzystwo Inwestycyjne S.A.
Śląskie;Kłobuck;Wsparcie  kadr podmiotów ekonomii społecznej;10442.00;8875.70;Stowarzyszenie Liderów Wiejskich
Śląskie;Katowic;Atrakcyjna i Innowacyjna Biotechnologia - ATRINBIOTECH;3946340.85;3354389.72;Uniwersytet Śląski
Śląskie;Katowic;Praktyczny kurs nowoczesnych metod analizy instrumentalnj;274896.87;233662.34;Uniwersytet Śląski w Katowicach
Śląskie;Katowice;Mechatronika -Studia podyplomowe dla profesjonalistów;1775775.00;1318233.55;Wyższa Szkoła Mechatroniki w Katowicach
Śląskie;Katowice;Zarządzanie Przedsiębiorstwem Bankowym - Studia podyplomowe dla kadr sektora bankowego;485519.42;368474.51;Wyższa Szkoła Zarządzania Marketingowego i Języków Obcych
